0,1,2
,For the Fiscal Year Ended December 31 2022,
,TALE OF CONTENTS,
,,Page
Note About Forward-Looking Statements,,3
PART I,,
Item 1.,usiness,4
Item 1A.,Risk Factors,9
Item 1.,Unresolved Staff Comments,22
Item 2.,Properties,23
Item 3.,Legal Proceedings,23
Item 4.,Mine Safety Disclosures,23
PART II,,
Item 5.,Market for Registrant’s Common Equity Related Stockholder Matters and Issuer Purchases,23
,of Equity Securities,
Item 6.,[Reserved],25
Item 7.,Management’s Discussion and Analysis of Financial Condition and Results of Operations,26
Item 7A.,Quantitative and Qualitative Disclosures About Market Risk,40
Item 8.,Financial Statements and Supplementary Data,43
Item 9.,Changes in and Disagreements With Accountants on Accounting and Financial Disclosure,84
Item 9A.,Controls and Procedures,84
Item 9.,Other Information,84
Item 9C.,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,84
PART III,,
Item 10.,Directors Executive Officers and Corporate Governance,85
Item 11.,Executive Compensation,85
Item 12.,Security Ownership of Certain eneficial Owners and Management and Related Stockholder,85
,Matters,
Item 13.,Certain Relationships and Related Transactions and Director Independence,85
Item 14.,Principal Accountant Fees and Services,85
PART IV,,
Item 15.,Exhibits Financial Statement Schedules,86
Item 16.,Form 10-K Summary,89
Signatures,,
