0,1,2
Total amounts in the Consolidated Statements of Income, 69092  902  76693  146,
,,
Effect of cash flow hedges:,,
Foreign exchange contracts,,
Amount reclassified from AOCI to income, 658  0  15  0,
"Amount excluded from the assessment of
effectiveness amortized",20 0 14 0,
Effect of fair value hedges:,,
Foreign exchange contracts,,
Hedged items,0 226 0 48,
Derivatives designated as hedging instruments,0 226 0 48,
"Amount excluded from the assessment of
effectiveness",0 6 0 2,
Effect of net investment hedges:,,
Foreign exchange contracts,,
"Amount excluded from the assessment of
effectiveness",,
Effect of non designated hedges:,,
Foreign exchange contracts,0 495 0 340,
Other contracts,0 34 0 83,
Total gains losses, 638  396, 1  242
