0,1,2
,For the Fiscal Year Ended December 31 2023,
,TALE OF CONTENTS,
,,Page
Note About Forward-Looking Statements,,3
PART I,,
Item 1.,usiness,4
Item 1A.,Risk Factors,11
Item 1.,Unresolved Staff Comments,24
Item 1C.,Cybersecurity,24
Item 2.,Properties,25
Item 3.,Legal Proceedings,25
Item 4.,Mine Safety Disclosures,25
PART II,,
Item 5.,Market for Registrant’s Common Equity Related Stockholder Matters and Issuer Purchases,25
,of Equity Securities,
Item 6.,[Reserved],28
Item 7.,Management’s Discussion and Analysis of Financial Condition and Results of Operations,29
Item 7A.,Quantitative and Qualitative Disclosures About Market Risk,45
Item 8.,Financial Statements and Supplementary Data,47
Item 9.,Changes in and Disagreements With Accountants on Accounting and Financial Disclosure,88
Item 9A.,Controls and Procedures,88
Item 9.,Other Information,89
Item 9C.,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,89
PART III,,
Item 10.,Directors Executive Officers and Corporate Governance,90
Item 11.,Executive Compensation,90
Item 12.,Security Ownership of Certain eneficial Owners and Management and Related Stockholder,90
,Matters,
Item 13.,Certain Relationships and Related Transactions and Director Independence,90
Item 14.,Principal Accountant Fees and Services,90
PART IV,,
Item 15.,Exhibits Financial Statement Schedules,91
Item 16.,Form 10-K Summary,94
Signatures,,
