0,1,2
Signature,Title,Date
,Chief Executive Officer and Director,
/S/ SUNDAR PICHAI,Principal Executive Officer,February 2 2021
Sundar Pichai,,
,Senior Vice President and Chief Financial,
/S/    RUTH M. PORAT,Officer Principal Financial Officer,February 2 2021
Ruth M. Porat,,
,Vice President and Chief Accounting Officer,
/S/    AMIE THUENER O'TOOLE,Principal Accounting Officer,February 2 2021
Amie Thuener O'Toole,,
/S/    FRANCES H. ARNOLD,Director,February 2 2021
Frances H. Arnold,,
/S/    SERGEY RIN,Co-Founder and Director,February 2 2021
Sergey rin,,
/S/    L. JOHN DOERR,Director,February 2 2021
L. John Doerr,,
/S/    ROGER W. FERGUSON JR.,Director,February 2 2021
Roger W. Ferguson Jr.,,
/S/    JOHN L. HENNESSY,Director Chair,February 2 2021
John L. Hennessy,,
/S/    ANN MATHER,Director,February 2 2021
Ann Mather,,
/S/    ALAN R. MULALLY,Director,February 2 2021
Alan R. Mulally,,
/S/    LARRY PAGE,Co-Founder and Director,February 2 2021
Larry Page,,
/S/    K. RAM SHRIRAM,Director,February 2 2021
K. Ram Shriram,,
/S/    Robin L. Washington,Director,February 2 2021
Robin L. Washington,,
