0,1,2
"Total amounts included in the Consolidated Statements of
Income", 76693  146  88268  3185,
,,
Effect of cash flow hedges:,,
Foreign exchange contracts,,
Amount reclassified from AOCI to income, 15  0  6  0,
"Amount excluded from the assessment of
effectiveness amortized",14 0 23 0,
Effect of fair value hedges:,,
Foreign exchange contracts,,
Hedged items,0 48 0 69,
Derivatives designated as hedging instruments,0 48 0 69,
"Amount excluded from the assessment of
effectiveness",0 2 0 4,
Effect of net investment hedges:,,
Foreign exchange contracts,,
"Amount excluded from the assessment of
effectiveness",,
Effect of non designated hedges:,,
Foreign exchange contracts,0 340 0 52,
Other contracts,0 83 0 32,
Total gains losses, 1  242, 17  33
