0,1,2
Table of Contents,,Alphabet Inc.
Signature,Title,Date
,Chief Executive Officer and Director Principal,
/S/    SUNDAR PICHAI,Executive Officer,February 2 2023
Sundar Pichai,,
,Senior Vice President and Chief Financial,
/S/    RUTH M. PORAT,Officer Principal Financial Officer,February 2 2023
Ruth M. Porat,,
,Vice President and Chief Accounting Officer,
/S/    AMIE THUENER O'TOOLE,Principal Accounting Officer,February 2 2023
Amie Thuener O'Toole,,
/S/    FRANCES H. ARNOLD,Director,February 2 2023
Frances H. Arnold,,
/S/    SERGEY RIN,Co-Founder and Director,February 2 2023
Sergey rin,,
/S/   R. MARTIN CHAVEZ,Director,February 2 2023
R. Martin Chávez,,
/S/    L. JOHN DOERR,Director,February 2 2023
L. John Doerr,,
/S/    ROGER W. FERGUSON JR.,Director,February 2 2023
Roger W. Ferguson Jr.,,
/S/    JOHN L. HENNESSY,Director Chair,February 2 2023
John L. Hennessy,,
/S/    ANN MATHER,Director,February 2 2023
Ann Mather,,
/S/    LARRY PAGE,Co-Founder and Director,February 2 2023
Larry Page,,
/S/    K. RAM SHRIRAM,Director,February 2 2023
K. Ram Shriram,,
/S/    ROIN L. WASHINGTON,Director,February 2 2023
Robin L. Washington,,
