0,1,2
,,Alphabet Inc.
Signature,Title,Date
,Chief Executive Officer and Director Principal,
/S/ SUNDAR PICHAI,Executive Officer,February 1 2022
Sundar Pichai,,
,Senior Vice President and Chief Financial,
/S/    RUTH M. PORAT,Officer Principal Financial Officer,February 1 2022
Ruth M. Porat,,
,Vice President and Chief Accounting Officer,
/S/    AMIE THUENER O'TOOLE,Principal Accounting Officer,February 1 2022
Amie Thuener O'Toole,,
/S/    FRANCES H. ARNOLD,Director,February 1 2022
Frances H. Arnold,,
/S/    SERGEY RIN,Co-Founder and Director,February 1 2022
Sergey rin,,
/S/    L. JOHN DOERR,Director,February 1 2022
L. John Doerr,,
/S/    ROGER W. FERGUSON JR.,Director,February 1 2022
Roger W. Ferguson Jr.,,
/S/    JOHN L. HENNESSY,Director Chair,February 1 2022
John L. Hennessy,,
/S/    ANN MATHER,Director,February 1 2022
Ann Mather,,
/S/    ALAN R. MULALLY,Director,February 1 2022
Alan R. Mulally,,
/S/    LARRY PAGE,Co-Founder and Director,February 1 2022
Larry Page,,
/S/    K. RAM SHRIRAM,Director,February 1 2022
K. Ram Shriram,,
/S/    Robin L. Washington,Director,February 1 2022
Robin L. Washington,,
