0,1,2
,For the Fiscal Year Ended December 31 2021,
,TALE OF CONTENTS,
,,Page
Note About Forward-Looking Statements,,3
PART I,,
Item 1.,usiness,4
Item 1A.,Risk Factors,10
Item 1.,Unresolved Staff Comments,24
Item 2.,Properties,24
Item 3.,Legal Proceedings,24
Item 4.,Mine Safety Disclosures,24
PART II,,
Item 5.,Market for Registrant’s Common Equity Related Stockholder Matters and Issuer Purchases of,25
,Equity Securities,
Item 6.,[Reserved],27
Item 7.,Management’s Discussion and Analysis of Financial Condition and Results of Operations,28
Item 7A.,Quantitative and Qualitative Disclosures About Market Risk,42
Item 8.,Financial Statements and Supplementary Data,45
Item 9.,Changes in and Disagreements With Accountants on Accounting and Financial Disclosure,86
Item 9A.,Controls and Procedures,86
Item 9.,Other Information,86
Item 9C.,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,87
PART III,,
Item 10.,Directors Executive Officers and Corporate Governance,88
Item 11.,Executive Compensation,88
Item 12.,Security Ownership of Certain eneficial Owners and Management and Related Stockholder,88
,Matters,
Item 13.,Certain Relationships and Related Transactions and Director Independence,88
Item 14.,Principal Accountant Fees and Services,88
PART IV,,
Item 15.,Exhibits Financial Statement Schedules,89
Item 16.,Form 10-K Summary,92
Signatures,,
