0,1,2
companies in the S&P 100 Index the “S&P 100 Index Companies” the “TSR Performance” over the,,
Performance  Period  in  respect  of  such  Grant.  The  terms  “Threshold”  “Target”  and  “Maximum”  when,,
used in this Exhibit A to describe Alphabet’s TSR Performance are defined below:,,
Performance Goals,Alphabet’s Percentile Rank Relative,
,,Percentage of Target Award
,to Peer Companies,
,,Earned
,,straight-line interpolation between
,,Threshold and Target; and Target
,,and Maximum
Minimum,elow 25th percentile,0
Threshold,At 25th percentile,50
Target,At 50th percentile,100
Maximum,At or above 75th percentile,200
