0,1,2
"Unrealized gains
investments",losses on available-for-sale,
,Other income expense net, 73  464  155  953
,"enefit provision for income
taxes",16 102 34 210
,Net of income tax,57 362 121 743
Unrealized gains,losses on cash flow hedges,
"Foreign
exchange
contracts",Revenue,65 658 43 1355
"Interest rate
contracts",Other income expense net,1 2 4 5
,"enefit provision for income
taxes",6 113 18 228
,Net of income tax,60 547 21 1132
Total amount recl,assified net of income tax, 117  185  100  389
