0,1,2
Table of Contents,,Alphabet Inc.
Signature,Title,Date
,Chief Executive Officer and Director Principal,
/S/    SUNDAR PICHAI,Executive Officer,January 30 2024
Sundar Pichai,,
,President and Chief Investment Officer; Chief,
/S/    RUTH M. PORAT,Financial Officer Principal Financial Officer,January 30 2024
Ruth M. Porat,,
,Vice President Corporate Controller and,
/S/    AMIE THUENER O'TOOLE,Principal Accounting Officer,January 30 2024
Amie Thuener O'Toole,,
/S/    FRANCES H. ARNOLD,Director,January 30 2024
Frances H. Arnold,,
/S/    SERGEY RIN,Co-Founder and Director,January 30 2024
Sergey rin,,
/S/   R. MARTIN CHAVEZ,Director,January 30 2024
R. Martin Chávez,,
/S/    L. JOHN DOERR,Director,January 30 2024
L. John Doerr,,
/S/    ROGER W. FERGUSON JR.,Director,January 30 2024
Roger W. Ferguson Jr.,,
/S/    JOHN L. HENNESSY,Director Chair,January 30 2024
John L. Hennessy,,
/S/    LARRY PAGE,Co-Founder and Director,January 30 2024
Larry Page,,
/S/    K. RAM SHRIRAM,Director,January 30 2024
K. Ram Shriram,,
/S/    ROIN L. WASHINGTON,Director,January 30 2024
Robin L. Washington,,
