0,1,2
"Total amounts presented in the Consolidated Statements
of Income in which the effects of cash flow and fair value
hedges are recorded", 182312  9503  206788  2501,
,,
"Gains Losses on Derivatives in Cash Flow Hedging
Relationship:",,
Foreign exchange contracts,,
"Amount of gains losses reclassified from AOCI to
income", 43  0  1355  0,
"Amount excluded from the assessment of
effectiveness recognized in earnings based on an
amortization approach",11 0 63 0,
"Gains Losses on Derivatives in Fair Value Hedging
Relationship:",,
Foreign exchange contracts,,
Hedged items,0 41 0 349,
Derivatives designated as hedging instruments,0 41 0 350,
"Amount excluded from the assessment of
effectiveness",0 6 0 9,
"Gains Losses on Derivatives in Net Investment Hedging
Relationship:",,
Foreign exchange contracts,,
"Amount excluded from the assessment of
effectiveness",,
"Gains Losses on Derivatives Not Designated as
Hedging Instruments:",,
Foreign exchange contracts,0 552 0 891,
Other Contracts,0 93 0 158,
Total gains losses, 54  393, 1292  624
